Speed_Avg,Brake_Frequency,Brake_Intensity,Throttle_Variance,Energy_Consumption,Range_Est,Label_Driver
23.2,2.5,69.8,27.03,0.158,151.6,2
76.3,5.0,74.1,38.28,0.157,226.5,2
72.2,5.4,30.4,22.94,0.112,112.9,0
20.1,13.2,8.6,8.37,0.122,298.3,1
91.3,2.0,0.1,14.71,0.116,182.6,1
17.0,9.8,31.4,10.61,0.104,130.8,0
65.0,3.9,26.7,0.0,0.17,125.3,1
67.8,1.2,31.6,23.9,0.131,108.1,0
33.6,10.5,36.9,18.57,0.143,157.9,0
90.4,0.0,30.9,4.61,0.181,93.5,1
35.1,0.5,39.4,21.79,0.211,119.4,0
54.6,7.4,14.5,14.7,0.181,182.3,1
64.6,2.9,47.9,28.57,0.037,122.1,0
80.0,11.2,32.7,27.24,0.07,126.0,0
52.1,6.5,9.0,12.85,0.153,129.1,0
34.9,20.1,40.2,17.2,0.156,154.6,0
38.1,0.0,38.6,10.29,0.055,151.7,0
26.5,15.1,36.2,21.65,0.1,166.6,0
29.0,14.2,34.5,27.2,0.093,110.6,0
48.1,17.9,42.7,22.59,0.196,226.8,0
9.8,0.0,9.3,1.58,0.175,169.0,1
30.0,20.0,36.5,15.52,0.235,201.6,0
14.3,12.1,36.9,32.56,0.089,122.6,0
58.3,4.1,13.9,11.8,0.127,107.1,1
64.3,6.7,87.8,63.99,0.102,201.2,2
38.0,5.9,10.7,4.42,0.116,119.6,1
46.2,16.6,12.5,19.14,0.168,200.6,0
20.5,16.1,40.6,14.69,0.111,211.6,0
41.4,11.3,54.1,27.6,0.192,95.1,0
22.3,13.6,35.1,16.48,0.07,175.6,0
58.4,0.0,100.0,51.81,0.211,43.5,2
37.9,17.4,24.7,6.85,0.115,185.8,0
35.2,18.2,43.9,19.01,0.171,151.4,0
35.2,28.9,56.3,41.19,0.094,126.9,0
39.1,6.8,17.5,12.39,0.1,170.6,1
40.6,13.2,37.8,29.97,0.159,228.6,2
16.2,17.9,44.1,11.01,0.194,192.3,0
42.9,4.3,10.5,3.46,0.175,198.6,1
19.7,8.6,4.1,0.0,0.167,113.4,0
21.9,2.7,0.0,15.41,0.093,184.2,1
26.9,28.8,34.7,23.64,0.202,189.9,2
25.0,18.9,51.4,31.84,0.121,118.3,0
44.5,0.7,12.2,11.65,0.213,148.1,1
31.0,34.2,25.4,22.87,0.16,151.0,0
25.6,22.6,65.3,7.26,0.046,64.6,0
13.5,17.7,36.4,25.65,0.118,104.5,0
66.3,5.4,36.1,0.0,0.151,99.3,0
30.3,10.4,50.8,13.1,0.223,193.1,0
34.9,23.0,17.1,12.51,0.162,150.3,0
39.9,0.0,10.7,3.82,0.085,225.8,1
26.3,6.6,35.8,20.53,0.104,158.5,0
65.5,11.3,70.0,13.78,0.179,140.7,2
18.6,0.0,54.4,19.64,0.168,169.3,0
66.2,0.0,19.9,8.06,0.097,78.5,1
41.9,7.6,50.0,19.84,0.124,83.5,0
57.9,5.8,21.8,25.17,0.165,184.5,0
49.8,11.1,40.7,31.14,0.096,208.0,0
40.8,23.5,38.8,18.44,0.127,220.8,0
20.4,14.7,13.2,10.85,0.23,248.5,1
0.0,1.3,46.9,19.93,0.17,189.9,0
32.3,13.5,0.0,9.49,0.196,130.4,0
30.1,30.4,36.1,13.82,0.08,135.4,0
14.4,20.5,38.7,6.63,0.23,103.9,0
34.9,1.6,38.0,8.39,0.162,147.3,0
87.5,4.4,26.3,13.93,0.195,48.7,1
42.7,4.9,75.0,77.57,0.151,121.0,2
46.1,15.2,30.8,30.64,0.121,188.6,2
15.9,18.0,25.4,6.89,0.151,132.5,0
100.8,0.3,11.6,17.14,0.178,134.0,2
18.9,11.3,49.8,13.87,0.151,73.0,0
16.8,18.3,22.7,24.95,0.216,169.8,0
95.1,4.9,9.6,6.09,0.201,196.0,1
67.6,15.0,38.6,31.64,0.133,151.2,0
10.7,8.3,34.9,30.99,0.175,165.8,0
69.9,1.4,30.3,16.09,0.195,122.6,1
32.2,10.5,44.1,27.88,0.232,124.1,0
28.5,25.8,19.0,19.13,0.061,182.7,0
14.2,1.0,73.6,32.25,0.206,152.0,2
29.8,17.9,48.3,27.01,0.151,195.9,0
12.6,8.3,19.7,31.09,0.169,217.0,0
60.6,0.0,35.2,33.34,0.207,221.3,0
89.5,5.3,15.9,6.48,0.167,161.7,1
22.5,18.9,58.2,35.89,0.206,127.5,0
72.5,5.2,90.5,65.63,0.064,173.5,2
8.5,8.1,11.2,12.15,0.175,151.7,1
48.5,0.0,15.5,3.74,0.136,113.7,0
90.0,3.5,1.3,2.7,0.09,101.2,1
89.5,6.4,22.1,11.87,0.076,153.7,1
28.0,3.5,46.1,15.51,0.139,134.4,0
58.4,0.0,41.3,5.63,0.115,117.1,0
74.6,0.0,7.2,11.24,0.119,113.1,1
67.1,0.3,12.7,13.17,0.177,130.7,1
14.6,0.0,80.3,81.03,0.156,211.2,2
75.3,2.9,7.5,0.38,0.126,153.3,1
17.4,18.3,7.9,8.11,0.15,90.8,1
80.7,0.4,7.5,5.98,0.174,162.3,1
35.4,19.9,32.3,32.83,0.177,136.8,0
22.4,6.5,26.3,21.03,0.133,160.5,0
7.3,31.4,43.2,13.7,0.086,139.9,0
66.2,5.5,63.4,16.49,0.124,134.0,1
45.7,32.7,47.6,8.76,0.084,154.6,0
52.3,0.0,9.4,0.0,0.132,181.5,1
12.6,0.0,58.8,18.73,0.149,174.5,0
78.9,5.0,27.1,29.06,0.219,128.2,0
14.8,17.8,27.8,27.06,0.2,151.8,0
51.4,1.8,15.1,15.29,0.146,231.6,1
67.1,3.2,8.9,2.26,0.187,213.2,1
89.3,1.8,12.7,7.88,0.147,107.8,1
39.9,5.4,43.6,41.2,0.093,200.4,0
92.1,0.0,14.2,7.63,0.214,124.1,1
65.2,3.6,13.8,7.33,0.169,180.8,1
22.1,15.5,19.0,39.07,0.075,110.2,0
74.8,8.0,13.0,11.75,0.133,126.5,1
6.5,11.4,35.5,22.3,0.129,158.5,0
16.5,19.3,44.7,7.63,0.078,210.5,1
15.3,9.4,0.0,7.14,0.226,176.9,1
52.2,4.6,22.5,18.78,0.149,153.8,1
68.8,4.9,71.1,43.63,0.177,127.5,2
40.3,15.3,37.6,35.64,0.099,181.1,0
89.6,3.6,0.6,1.15,0.12,121.6,1
80.4,1.7,15.3,9.83,0.121,71.9,1
44.3,21.9,34.9,27.81,0.158,140.2,0
46.9,23.3,42.9,11.98,0.171,142.2,0
13.3,17.8,17.9,22.76,0.229,91.8,1
83.3,5.0,15.4,16.09,0.163,123.7,1
99.6,0.4,17.3,13.27,0.152,167.1,1
25.6,18.8,35.6,29.71,0.178,213.9,0
50.3,5.4,35.7,6.79,0.023,136.9,1
93.6,0.0,14.9,12.14,0.097,137.5,1
11.8,24.0,55.1,12.82,0.175,161.7,0
11.7,3.4,16.5,20.81,0.102,87.0,0
104.8,0.7,24.3,13.84,0.132,114.8,1
55.9,5.2,10.1,8.79,0.112,160.3,1
62.1,2.6,22.5,17.44,0.092,150.7,1
63.9,0.8,10.2,6.4,0.237,185.9,1
34.8,2.0,72.9,37.29,0.179,82.3,2
13.0,10.7,34.4,18.55,0.068,238.1,0
42.6,13.2,33.8,11.81,0.234,155.4,0
47.1,18.6,10.5,14.21,0.086,129.5,1
49.8,13.0,13.0,25.63,0.191,188.9,0
103.7,4.5,30.6,5.06,0.096,141.7,1
65.6,6.1,68.0,59.43,0.206,111.9,2
12.6,24.3,24.9,21.2,0.128,203.4,0
47.1,25.3,37.7,24.74,0.168,201.4,0
73.2,7.0,20.5,12.25,0.157,109.1,1
13.5,9.3,5.7,2.81,0.239,155.0,1
57.0,0.0,6.8,0.0,0.112,198.9,1
91.1,3.7,20.6,14.29,0.147,116.1,1
87.4,5.7,21.7,8.45,0.174,167.7,1
55.7,2.5,14.3,9.8,0.115,156.8,1
13.4,4.3,76.2,60.8,0.082,189.7,2
12.7,9.0,24.4,27.47,0.224,195.2,0
108.3,0.0,77.4,34.91,0.127,84.3,2
43.3,24.0,42.0,23.29,0.136,165.7,0
31.1,18.1,37.8,24.46,0.233,144.4,0
59.7,5.9,38.7,28.69,0.047,176.4,0
36.8,16.3,44.0,42.06,0.172,159.5,0
34.1,25.3,2.2,21.28,0.175,172.6,0
74.5,9.0,13.5,6.38,0.191,119.1,1
87.4,2.4,16.1,11.71,0.117,217.2,1
34.7,25.8,48.1,14.48,0.168,139.4,2
20.9,11.0,45.9,5.59,0.145,143.3,0
39.7,10.1,35.3,24.47,0.136,210.6,0
70.8,5.0,8.0,11.99,0.135,154.4,1
16.5,23.4,45.8,26.02,0.21,183.3,0
34.8,0.0,48.3,6.71,0.19,205.2,0
29.9,6.8,80.5,36.56,0.07,187.8,0
61.2,3.2,28.8,34.0,0.062,157.4,0
13.3,12.7,24.8,28.25,0.15,145.6,0
58.5,9.2,90.6,23.97,0.196,142.0,2
55.9,5.3,14.6,10.42,0.229,175.6,1
41.0,0.8,31.0,9.93,0.111,107.3,1
51.6,4.7,18.0,17.64,0.083,197.1,0
70.6,6.0,22.3,11.19,0.154,113.3,1
61.7,0.3,9.6,7.56,0.13,90.8,1
13.5,15.0,33.8,28.19,0.199,159.9,0
58.3,3.9,13.6,9.22,0.156,134.4,1
12.2,13.6,9.5,12.43,0.162,174.8,1
49.1,8.5,56.0,46.81,0.128,158.1,0
58.1,8.6,24.9,26.68,0.105,202.7,0
24.5,11.0,17.1,11.31,0.107,166.0,1
70.1,4.1,4.5,5.21,0.148,149.7,1
42.6,13.3,50.1,30.84,0.116,172.1,0
37.1,5.5,14.1,11.28,0.191,163.1,1
54.4,2.7,17.8,13.86,0.166,172.7,1
27.0,3.9,30.2,11.37,0.126,161.4,1
77.5,0.0,15.8,20.07,0.159,88.8,1
56.9,20.1,21.6,19.57,0.16,153.9,0
24.7,12.0,30.4,10.55,0.181,122.3,1
13.3,23.9,54.3,22.74,0.12,122.3,0
89.8,5.2,0.0,8.01,0.096,159.7,1
99.3,7.0,8.5,10.73,0.189,129.3,2
37.5,4.7,31.9,7.52,0.205,161.9,0
26.1,4.2,21.1,12.92,0.125,134.9,1
83.7,8.0,19.4,12.53,0.152,129.5,1
31.3,10.6,39.5,29.78,0.129,105.7,0
12.9,12.9,9.1,21.55,0.136,43.5,0
88.4,5.0,0.0,9.17,0.143,183.5,1
19.5,0.6,69.0,51.7,0.242,124.5,2
70.7,9.6,38.0,9.96,0.069,131.4,0
79.8,9.1,7.7,5.36,0.08,113.1,1
95.3,1.8,2.8,0.0,0.111,198.1,1
63.7,0.6,16.3,4.51,0.116,188.3,1
13.5,7.8,46.7,14.96,0.185,149.9,0
18.6,15.4,0.6,11.35,0.166,208.0,1
87.7,1.8,7.2,3.4,0.085,124.9,1
39.2,9.8,23.7,9.84,0.126,191.0,0
34.0,30.0,32.4,20.99,0.199,153.9,0
41.0,12.7,53.3,30.89,0.095,137.9,0
9.4,11.7,25.8,22.69,0.116,126.8,0
67.8,4.0,14.1,14.77,0.161,196.8,1
51.9,1.2,7.3,13.25,0.189,207.8,1
91.0,0.6,0.0,14.56,0.14,177.0,1
14.1,20.2,16.8,1.46,0.159,89.9,1
21.9,26.0,27.6,30.5,0.169,191.0,0
26.9,13.3,41.0,31.35,0.1,106.1,0
7.7,18.1,37.1,0.0,0.232,127.0,0
15.9,10.3,100.0,71.66,0.104,253.3,2
45.5,3.4,16.9,12.52,0.163,144.6,1
10.8,0.0,15.5,13.79,0.169,185.5,1
66.9,3.2,19.3,6.68,0.11,60.2,1
30.2,5.1,44.4,39.9,0.135,154.7,0
79.1,2.1,11.3,3.06,0.157,118.5,1
66.5,5.0,43.1,11.33,0.217,104.4,0
18.1,5.9,28.1,9.07,0.123,187.1,1
47.2,15.5,33.3,34.48,0.138,237.5,0
59.1,7.4,51.9,23.42,0.201,128.1,0
25.2,0.2,15.1,7.85,0.126,112.7,1
46.0,0.0,69.7,13.58,0.16,212.8,1
39.7,9.3,24.6,25.61,0.027,177.3,0
24.8,9.9,32.2,26.2,0.114,110.4,2
23.6,21.3,39.6,25.99,0.086,113.1,0
57.2,26.5,19.9,0.6,0.214,123.2,0
35.5,13.8,28.5,31.88,0.227,186.0,0
46.6,1.8,86.7,66.49,0.248,226.8,2
16.2,17.3,33.6,24.7,0.171,175.1,0
38.1,15.3,35.5,19.89,0.161,137.1,0
26.9,17.5,37.5,28.07,0.197,169.4,0
23.7,13.0,42.7,24.54,0.143,188.7,0
18.6,12.9,20.7,33.66,0.149,193.3,0
24.1,33.7,20.9,5.0,0.198,109.8,0
39.4,9.5,55.3,15.47,0.075,172.2,0
72.6,11.3,22.8,15.96,0.17,137.9,0
80.1,6.2,10.7,11.5,0.129,153.9,1
45.1,25.2,36.8,9.3,0.132,214.6,0
32.2,14.0,18.4,29.9,0.087,221.0,0
24.9,5.0,17.4,5.2,0.15,152.3,1
48.2,0.0,16.1,1.17,0.218,123.5,1
37.3,15.8,34.6,36.03,0.131,184.4,0
45.1,2.2,82.4,22.45,0.15,175.3,2
42.2,2.3,7.0,14.82,0.141,133.6,1
45.5,2.2,21.7,14.77,0.112,139.5,1
37.8,16.0,82.0,64.82,0.085,157.6,2
27.1,21.2,45.1,18.28,0.0,118.4,0
15.5,11.7,11.4,16.12,0.121,225.3,0
66.5,0.4,23.9,12.75,0.11,143.7,1
24.7,15.1,39.4,22.55,0.17,124.9,0
92.2,0.8,17.8,4.47,0.073,162.0,1
28.6,19.1,24.8,28.39,0.155,130.2,0
72.5,6.4,11.2,13.85,0.168,84.9,1
52.3,2.4,27.1,0.0,0.083,149.1,0
77.0,2.8,16.0,18.02,0.197,222.9,1
30.4,16.9,28.8,0.0,0.009,184.0,0
1.6,14.2,15.4,11.57,0.117,131.8,1
58.4,2.6,3.9,5.26,0.028,230.0,1
0.0,16.8,61.4,12.05,0.169,196.5,0
61.7,0.0,14.7,18.17,0.107,171.8,1
54.8,2.6,99.8,29.78,0.094,128.5,0
40.0,33.0,43.7,13.12,0.139,117.3,0
43.2,1.0,0.0,5.88,0.203,185.0,1
43.7,3.3,7.8,8.21,0.179,226.5,1
68.0,5.1,0.0,12.93,0.262,99.7,1
18.3,15.3,0.0,13.18,0.187,165.8,1
80.3,1.2,0.0,12.3,0.137,186.5,1
6.2,17.9,46.7,25.32,0.137,122.7,0
43.9,13.8,38.0,8.15,0.162,127.9,0
44.5,3.0,65.5,72.75,0.106,160.3,2
40.4,0.0,3.8,13.58,0.066,180.9,1
38.4,23.2,26.4,17.8,0.161,130.3,0
13.6,10.9,50.7,18.85,0.091,169.2,0
29.1,13.3,47.0,42.82,0.133,125.2,0
71.2,6.2,27.5,8.74,0.151,180.8,1
12.9,9.5,36.8,45.25,0.131,162.5,0
13.7,6.8,99.3,44.21,0.1,145.2,2
66.0,10.9,34.7,0.0,0.176,123.8,0
28.2,22.2,33.6,9.93,0.126,205.3,0
61.7,10.5,27.6,10.52,0.142,47.4,1
47.5,0.0,17.2,12.38,0.098,112.2,1
6.2,7.5,46.6,43.32,0.192,131.8,0
79.9,0.7,20.0,4.63,0.09,179.3,1
41.6,4.6,21.9,39.0,0.17,200.2,0
11.8,0.0,83.2,104.65,0.2,190.1,2
13.8,10.5,29.8,29.1,0.184,114.8,0
69.5,6.8,9.5,5.31,0.089,264.3,1
37.9,17.1,34.5,19.52,0.201,135.9,0
72.8,2.2,0.0,10.18,0.154,157.0,1
34.3,14.9,33.5,3.52,0.153,139.2,0
32.2,13.0,30.2,31.24,0.117,98.4,0
39.8,0.0,9.3,13.54,0.139,137.1,1
24.7,15.8,34.3,26.44,0.183,65.5,0
44.4,15.1,24.5,30.35,0.264,138.6,0
61.0,7.1,51.6,1.95,0.163,95.5,0
42.0,11.2,50.3,6.06,0.178,170.6,0
15.5,24.1,26.9,10.32,0.154,241.9,0
23.7,26.0,20.0,16.17,0.127,216.2,0
29.5,10.3,47.3,22.61,0.155,130.4,0
69.9,8.9,35.7,15.69,0.259,154.6,1
47.8,6.9,53.5,29.66,0.168,129.9,0
32.1,8.5,22.1,24.72,0.111,113.8,0
35.4,2.8,22.0,2.24,0.141,136.0,1
52.0,4.4,18.5,10.08,0.194,158.7,1
24.1,9.6,47.4,28.46,0.177,136.1,0
45.8,0.0,19.3,8.12,0.202,175.0,1
26.2,2.7,82.1,46.14,0.199,112.5,2
7.8,9.8,39.5,30.99,0.091,79.9,0
31.2,12.7,48.1,6.13,0.042,216.4,0
81.8,3.0,12.5,9.88,0.21,141.5,1
69.9,1.1,15.0,10.16,0.17,150.4,1
17.7,7.1,25.1,6.56,0.166,211.0,1
71.4,0.3,0.2,7.59,0.134,187.7,1
58.6,10.3,45.7,6.98,0.213,144.0,0
34.6,2.5,2.7,10.69,0.157,169.1,1
30.6,5.9,87.9,34.72,0.214,136.9,2
36.4,15.8,36.2,29.21,0.14,144.4,0
50.3,1.8,16.6,17.04,0.055,110.5,1
22.1,12.5,34.7,6.29,0.191,160.5,0
101.0,6.1,17.7,12.16,0.097,161.9,1
33.2,19.8,57.5,12.56,0.143,111.3,0
15.7,9.8,21.4,9.39,0.217,143.8,0
25.1,14.9,47.8,19.05,0.171,170.7,0
65.9,3.3,44.6,17.01,0.195,180.5,0
27.5,28.6,43.3,13.96,0.151,137.5,0
50.2,24.7,47.8,35.59,0.105,124.9,0
46.5,26.5,32.5,21.57,0.148,204.5,0
18.9,10.2,18.3,1.59,0.155,141.0,1
7.1,20.5,27.1,22.45,0.152,97.6,0
3.9,18.7,38.9,24.97,0.161,157.3,0
99.2,0.0,3.3,18.4,0.133,92.4,1
45.0,1.9,16.3,8.15,0.142,231.4,1
66.9,1.2,33.3,11.98,0.202,154.3,1
29.4,0.8,22.4,18.72,0.095,164.9,0
32.9,15.2,19.5,17.36,0.207,100.2,1
40.6,29.4,42.6,24.33,0.041,175.4,0
13.9,16.5,47.3,26.67,0.153,259.6,2
24.6,21.7,19.7,31.69,0.16,139.7,0
28.0,12.8,62.0,31.11,0.136,177.5,0
51.4,0.8,11.5,14.56,0.125,165.1,1
29.3,10.0,25.8,19.31,0.181,136.7,0
75.3,10.0,0.0,11.04,0.176,145.4,1
13.7,20.2,11.8,14.38,0.164,150.3,1
60.2,0.7,8.7,13.47,0.101,173.9,1
31.8,10.2,48.8,18.31,0.126,165.0,0
46.8,4.2,62.4,57.69,0.181,132.4,2
14.3,26.1,39.6,29.6,0.219,97.7,0
86.6,12.9,100.0,53.41,0.19,101.2,2
67.7,7.2,25.3,15.25,0.121,155.0,1
25.9,8.6,76.9,8.59,0.152,114.7,2
46.8,4.6,40.9,13.76,0.126,77.1,1
31.7,20.0,43.0,27.44,0.103,197.1,0
81.6,3.0,9.4,3.64,0.114,141.1,1
45.4,6.5,55.2,27.84,0.138,160.6,0
29.2,15.5,39.6,17.59,0.173,140.0,0
63.0,13.7,73.8,39.7,0.139,222.0,2
63.9,5.1,13.0,32.52,0.185,235.3,0
67.8,6.7,20.2,4.11,0.213,176.4,1
30.6,0.0,60.3,16.44,0.159,135.5,0
15.2,10.8,100.0,37.89,0.21,110.2,2
53.1,5.6,7.9,11.09,0.19,104.5,1
37.6,13.3,53.0,23.75,0.139,126.7,0
18.5,4.0,72.4,8.83,0.226,207.1,0
45.0,0.0,0.0,11.95,0.152,179.0,1
23.2,12.9,29.1,36.7,0.164,127.0,0
54.7,0.1,10.4,10.58,0.104,137.4,1
14.6,5.4,43.5,22.38,0.191,85.0,0
35.3,19.6,25.1,11.66,0.078,56.8,0
67.5,12.3,46.3,2.39,0.038,195.5,0
68.7,2.8,8.6,5.0,0.218,129.5,1
54.4,0.8,13.9,11.03,0.202,69.7,1
68.8,5.5,17.2,2.74,0.116,202.9,1
32.3,17.4,29.6,30.63,0.107,166.4,0
6.0,18.6,9.6,1.75,0.136,88.5,1
30.7,23.8,20.4,17.09,0.196,182.2,0
60.7,2.7,81.1,80.75,0.121,86.4,2
27.0,22.0,29.5,16.91,0.167,130.9,0
86.7,2.2,3.4,17.33,0.213,43.9,1
52.9,21.1,24.7,5.5,0.113,121.5,0
10.2,0.0,46.8,25.64,0.172,152.2,0
15.6,26.3,12.1,21.35,0.136,154.4,0
72.4,2.3,24.4,1.39,0.054,132.6,1
64.0,20.5,64.7,38.85,0.086,116.4,0
54.3,0.0,24.2,12.38,0.163,149.5,1
76.7,2.6,35.9,10.18,0.155,160.9,1
37.6,8.1,76.2,54.94,0.141,119.6,2
17.1,8.0,26.2,7.45,0.161,101.2,0
62.9,6.6,24.1,25.77,0.156,175.6,0
61.1,7.6,7.1,11.45,0.153,171.8,1
16.9,2.6,53.0,14.52,0.185,136.9,0
29.3,8.9,35.5,39.69,0.246,146.9,0
29.0,9.3,48.0,27.84,0.192,108.5,0
56.4,0.1,8.7,18.79,0.092,186.0,1
30.4,16.0,53.2,10.75,0.203,161.4,0
22.4,11.9,18.8,5.27,0.166,98.2,1
25.1,18.3,34.9,20.12,0.119,138.3,0
107.2,4.7,85.6,46.9,0.177,163.5,2
25.5,17.6,53.8,21.31,0.064,124.6,0
43.9,6.6,28.0,12.29,0.21,217.1,0
18.8,10.6,47.0,15.62,0.14,53.7,0
67.3,0.1,26.8,10.75,0.05,92.1,1
39.5,3.7,15.3,31.53,0.195,189.8,0
6.8,21.2,18.0,12.89,0.16,127.5,0
25.1,20.7,38.1,27.98,0.09,190.7,0
28.2,16.2,26.1,37.99,0.2,164.0,0
50.4,5.5,15.0,7.69,0.198,146.0,1
21.8,28.2,37.1,26.39,0.146,101.9,0
79.6,0.5,14.1,14.7,0.201,139.6,1
95.6,4.2,17.1,4.35,0.16,171.4,1
48.1,1.8,24.4,10.11,0.094,106.8,1
138.5,1.3,15.7,7.92,0.168,166.2,1
34.3,2.5,5.2,15.94,0.142,142.9,0
6.0,18.9,24.5,23.96,0.193,139.4,0
63.4,11.0,72.7,81.15,0.188,187.6,2
4.8,10.9,42.9,40.84,0.146,168.1,0
66.6,4.4,20.4,8.74,0.127,132.9,1
80.2,9.4,21.5,19.61,0.066,111.9,1
32.5,17.2,34.6,3.0,0.152,88.2,0
24.1,20.2,55.1,35.2,0.041,133.8,0
54.1,24.1,48.4,40.08,0.218,155.9,0
12.3,0.0,64.6,23.12,0.19,182.2,2
54.1,4.5,34.3,5.64,0.128,124.9,1
26.3,7.0,83.3,33.06,0.13,70.6,2
37.4,23.0,26.6,30.15,0.177,142.7,0
38.8,4.5,74.6,63.04,0.18,152.6,2
26.6,10.7,21.3,11.14,0.177,183.6,0
88.5,4.0,66.4,61.03,0.164,193.8,2
53.1,18.4,35.8,37.86,0.239,207.1,0
22.3,8.6,13.9,19.99,0.239,106.8,1
30.1,0.0,91.2,45.9,0.133,197.2,2
44.5,25.0,29.3,20.79,0.15,203.1,0
10.4,11.7,8.6,12.99,0.194,180.7,1
33.1,11.2,7.8,6.55,0.2,190.2,1
41.7,15.2,25.1,14.14,0.212,119.1,0
31.7,3.1,58.9,22.02,0.222,157.9,0
46.4,0.0,100.0,43.86,0.132,97.9,2
28.7,26.4,32.7,25.67,0.13,148.8,0
53.0,7.6,21.8,11.79,0.196,172.1,1
61.9,6.9,40.7,40.27,0.156,145.0,0
55.6,3.6,48.4,50.97,0.21,176.8,2
82.4,3.1,7.2,8.31,0.064,173.7,1
16.4,16.1,29.6,3.94,0.106,170.9,0
21.5,14.4,0.0,10.18,0.103,232.5,1
81.0,0.0,8.2,5.28,0.155,85.7,1
46.5,9.0,19.6,12.34,0.154,182.3,0
68.1,3.8,5.3,8.28,0.078,111.2,1
89.6,1.0,16.1,9.0,0.066,97.4,1
22.2,8.1,6.5,38.35,0.057,158.5,0
23.4,20.5,36.3,26.23,0.182,211.4,0
39.5,5.9,56.8,34.69,0.174,108.0,0
51.3,11.8,46.5,22.11,0.249,126.2,0
16.2,8.3,12.1,13.1,0.14,141.5,1
39.7,0.0,2.6,14.22,0.197,239.5,1
58.3,18.8,32.4,4.69,0.111,90.7,0
27.9,7.7,51.9,13.78,0.12,124.9,0
61.7,2.8,17.3,7.6,0.24,203.8,1
23.9,12.9,56.9,24.53,0.21,160.5,0
75.5,0.0,49.0,11.96,0.198,200.2,0
24.2,15.6,29.2,31.18,0.197,168.0,0
28.9,17.3,51.7,40.07,0.197,70.7,0
47.4,6.9,13.7,18.35,0.186,197.4,1
36.7,17.7,31.1,20.82,0.122,157.6,0
57.1,7.1,20.8,12.34,0.182,225.6,1
36.2,3.6,0.0,4.94,0.211,135.7,1
40.5,0.9,14.0,9.2,0.108,121.4,1
76.2,0.0,76.8,56.27,0.211,168.7,2
22.2,13.6,39.3,28.92,0.088,112.0,0
84.1,2.9,14.2,12.76,0.198,163.9,1
56.5,13.5,75.7,30.6,0.087,115.9,2
10.8,17.5,2.6,44.6,0.151,158.5,0
28.9,10.3,36.0,34.25,0.1,108.8,0
60.0,0.1,71.2,59.9,0.138,96.3,2
45.7,4.9,16.5,13.31,0.101,140.0,1
86.0,3.8,27.4,10.59,0.111,216.8,1
18.7,4.2,50.6,16.01,0.184,109.9,0
79.8,2.7,22.1,16.46,0.144,119.3,1
30.9,6.5,41.2,12.63,0.114,151.2,0
62.3,2.6,9.9,14.66,0.207,148.6,1
45.5,13.0,24.3,33.01,0.141,158.7,0
35.4,1.0,0.8,12.32,0.078,153.8,1
65.1,0.0,27.8,12.03,0.145,136.1,1
25.6,28.1,25.3,14.8,0.155,96.8,0
19.2,6.0,64.7,28.05,0.22,125.7,0
32.6,24.5,53.8,37.94,0.157,74.2,0
23.6,12.8,42.9,37.09,0.184,158.8,0
89.6,0.8,76.5,25.36,0.068,127.9,2
18.0,17.9,22.9,18.61,0.149,89.6,0
32.3,0.0,49.5,29.15,0.209,101.2,0
47.1,4.3,25.8,7.09,0.205,198.4,1
40.7,22.5,26.7,20.5,0.122,126.0,0
31.6,13.5,25.9,0.0,0.155,158.0,0
47.1,0.0,25.0,8.33,0.124,127.4,1
41.5,12.3,31.9,29.29,0.168,140.4,0
20.8,8.7,68.4,14.36,0.1,165.5,0
37.5,2.4,4.6,11.43,0.172,138.2,1
21.9,29.1,30.9,49.74,0.115,140.6,0
84.3,4.0,0.0,2.58,0.17,183.6,1
26.0,17.6,0.0,9.09,0.113,116.7,1
24.9,1.5,82.2,55.95,0.208,151.0,2
63.5,0.0,87.4,42.8,0.162,193.8,2
0.0,16.3,12.4,17.17,0.111,231.6,0
47.6,1.2,31.0,7.28,0.133,102.5,0
37.2,1.3,3.5,3.82,0.129,128.2,1
18.2,3.5,22.6,8.41,0.241,177.3,0
45.2,20.5,36.6,22.72,0.264,165.4,0
22.1,23.6,16.3,21.04,0.035,161.8,0
64.9,2.6,16.3,3.45,0.126,170.7,1
70.1,7.5,44.6,7.62,0.099,146.3,0
36.2,7.2,36.5,15.83,0.175,159.6,0
46.7,5.1,8.2,6.5,0.173,98.7,1
66.9,8.6,3.7,22.43,0.208,130.3,0
44.0,5.4,37.2,4.66,0.12,240.7,0
22.0,19.9,53.9,16.38,0.072,79.5,0
19.3,21.0,47.8,23.21,0.141,135.2,0
34.1,30.9,24.6,26.48,0.203,108.7,0
62.2,4.5,87.3,35.31,0.168,111.2,2
66.7,0.0,24.4,7.19,0.111,147.7,1
27.8,10.3,9.3,17.13,0.125,177.5,1
14.2,0.0,100.0,40.38,0.155,200.7,2
70.8,2.6,9.4,12.41,0.218,151.7,1
38.7,13.1,85.5,30.43,0.105,146.4,2
24.8,9.1,37.8,16.49,0.152,149.9,0
43.4,4.4,3.8,12.2,0.087,189.2,1
60.7,2.5,13.7,10.05,0.113,160.2,2
50.7,1.9,0.0,8.06,0.173,180.7,1
60.2,0.0,11.1,6.52,0.14,112.8,1
27.0,0.0,38.9,16.78,0.222,160.5,0
27.4,21.3,39.0,17.59,0.254,182.8,0
30.4,5.4,64.0,19.58,0.135,191.5,0
