Throttle_Spike,Brake_Usage,Energy_Consumption,Regen_Efficiency,Jerk,Label_Driver
15.6,8.9,165.7,0.2,0.41,0
55.9,36.9,165.8,0.09,1.56,1
58.3,39.3,263.0,0.0,2.98,1
19.6,16.3,144.3,0.2,0.46,0
33.5,27.9,235.1,0.06,2.04,1
21.9,12.0,166.8,0.26,0.75,0
68.3,55.0,176.6,0.09,2.32,0
15.9,6.6,147.2,0.28,0.81,0
12.3,12.7,98.2,0.21,0.53,0
72.3,8.5,279.3,0.14,1.38,0
11.6,7.7,150.6,0.25,0.46,0
47.2,26.6,222.1,0.1,2.51,1
52.8,12.4,224.1,0.12,3.82,0
42.1,15.8,221.5,0.09,2.09,1
63.6,45.0,180.5,0.09,3.32,1
14.0,10.3,186.8,0.17,0.78,0
11.5,6.2,149.3,0.32,0.85,0
68.8,19.9,180.4,0.02,2.52,1
32.1,35.0,201.3,0.09,3.19,1
20.8,7.7,124.2,0.16,0.65,0
62.5,50.9,189.9,0.1,2.27,1
64.9,22.1,270.1,0.13,1.21,1
92.6,44.0,199.7,0.12,2.45,1
48.7,49.4,246.8,0.05,1.07,1
72.9,41.7,231.9,0.08,2.54,1
19.3,11.0,114.7,0.27,0.73,0
51.7,26.7,255.4,0.08,2.97,1
4.3,11.0,125.0,0.18,0.4,0
37.7,34.1,254.2,0.06,4.69,0
17.2,11.5,153.9,0.24,0.7,0
70.9,40.9,202.4,0.01,1.81,1
24.2,10.0,127.0,0.34,0.79,0
91.1,60.6,145.7,0.01,2.81,1
81.7,13.1,211.9,0.14,1.98,1
15.5,9.8,135.1,0.21,0.14,0
4.6,12.8,116.7,0.21,0.31,0
17.0,11.1,158.9,0.23,0.39,0
15.1,21.4,140.3,0.2,0.33,0
6.6,10.2,113.1,0.25,0.56,1
65.5,42.7,221.5,0.11,2.42,1
17.7,45.9,261.6,0.09,1.92,1
17.6,15.7,143.0,0.26,0.33,0
12.3,12.7,152.5,0.26,0.28,0
20.1,15.1,139.9,0.22,0.44,0
7.2,4.7,109.8,0.3,0.27,0
17.9,3.8,161.7,0.25,0.41,0
49.2,54.0,263.6,0.09,2.75,1
18.4,15.6,141.0,0.26,0.64,0
18.8,14.2,152.8,0.19,0.41,0
69.7,31.9,207.9,0.12,2.69,1
53.1,19.8,170.9,0.12,1.98,1
56.0,43.4,210.9,0.11,5.05,1
14.8,16.4,159.8,0.2,0.53,1
10.8,10.0,146.0,0.19,0.65,0
27.5,34.0,141.8,0.0,2.31,1
14.8,14.0,142.7,0.22,0.62,0
22.8,3.3,144.9,0.27,0.52,0
13.4,20.9,136.8,0.22,0.76,0
82.6,11.2,215.4,0.06,1.82,1
17.4,5.1,155.0,0.27,0.52,0
64.5,49.3,205.8,0.1,2.83,1
42.6,42.3,162.8,0.11,2.57,1
17.1,36.3,175.2,0.14,2.45,1
7.4,9.3,131.9,0.22,0.65,0
69.8,37.5,256.7,0.07,2.48,1
11.3,16.8,145.0,0.23,0.75,0
12.4,14.6,112.9,0.27,0.83,1
19.3,6.4,112.2,0.2,0.39,0
50.9,45.1,170.8,0.12,3.44,1
58.9,31.4,152.3,0.16,3.05,1
12.0,12.5,151.1,0.24,0.34,0
10.4,7.1,133.0,0.32,0.58,0
15.9,9.6,137.9,0.22,0.51,0
2.9,14.2,168.7,0.17,0.7,0
7.8,6.2,109.9,0.29,0.83,0
51.1,64.6,206.3,0.13,1.27,1
17.2,0.0,130.6,0.28,0.74,0
10.8,7.9,150.3,0.3,0.17,0
63.1,30.0,194.3,0.06,1.59,0
9.4,14.2,162.8,0.19,0.4,0
13.2,6.1,120.4,0.27,0.72,0
76.7,59.1,255.5,0.0,3.5,0
19.9,16.0,168.3,0.14,0.95,0
58.3,9.3,246.9,0.16,3.24,0
12.3,3.6,134.1,0.3,0.56,0
9.3,8.9,138.2,0.34,0.73,0
20.1,0.0,139.6,0.29,0.55,1
9.7,12.3,164.6,0.29,0.9,0
17.0,10.1,148.5,0.21,0.29,0
23.1,16.5,104.7,0.23,0.41,0
24.5,9.3,144.8,0.21,0.74,0
20.1,8.7,99.2,0.26,0.49,0
75.6,35.2,240.4,0.12,2.47,1
72.6,54.7,206.2,0.1,0.84,1
11.4,3.0,142.8,0.25,0.71,0
56.4,43.0,223.6,0.04,2.98,1
13.6,15.2,137.5,0.17,0.3,0
48.2,45.1,305.6,0.12,1.33,1
61.0,17.3,206.1,0.08,0.58,1
12.4,22.9,123.2,0.26,0.61,0
9.6,4.3,115.8,0.21,0.24,0
5.5,11.8,144.5,0.33,0.9,0
80.7,40.4,231.0,0.13,2.97,1
17.4,16.7,130.5,0.3,0.27,0
66.0,46.4,312.6,0.04,0.72,1
14.1,2.9,153.9,0.27,0.74,0
72.3,32.6,220.0,0.09,2.38,1
79.9,34.7,225.3,0.08,2.39,1
47.9,46.3,217.9,0.1,2.96,1
8.7,14.4,100.3,0.28,0.09,0
20.2,13.0,139.8,0.28,0.29,0
71.6,69.7,254.1,0.11,3.31,1
18.1,16.6,135.9,0.27,0.5,1
66.3,58.7,195.0,0.2,2.45,1
13.1,13.0,166.7,0.31,0.51,0
14.1,11.3,120.2,0.14,0.57,1
17.2,2.5,121.2,0.27,0.54,0
15.5,12.2,131.6,0.27,0.77,0
65.7,49.5,231.5,0.07,2.77,1
11.0,11.4,141.2,0.28,0.79,0
4.6,13.4,170.7,0.31,0.31,0
19.7,11.7,139.5,0.39,0.79,0
25.4,4.1,128.1,0.28,0.77,0
15.9,2.2,114.0,0.2,0.47,0
15.9,8.0,116.1,0.13,0.62,0
14.6,22.8,137.1,0.27,0.69,0
11.6,2.2,139.4,0.22,0.54,0
94.0,39.4,188.3,0.13,1.02,1
26.5,13.7,133.3,0.28,0.14,0
7.5,3.2,189.0,0.19,0.26,0
54.6,51.7,186.0,0.16,3.07,1
48.1,43.3,260.5,0.08,2.76,1
54.3,48.8,236.6,0.04,2.29,1
16.2,13.4,160.5,0.19,0.33,1
17.5,14.2,138.7,0.25,0.77,0
10.9,8.1,148.5,0.26,0.52,0
14.4,15.2,130.6,0.25,0.58,0
72.8,41.3,179.1,0.06,2.21,0
18.0,6.3,127.5,0.29,0.46,1
11.8,25.2,139.8,0.33,0.39,1
12.0,7.2,142.0,0.27,0.62,1
16.3,15.4,131.0,0.28,0.72,0
4.5,4.5,155.5,0.21,0.68,0
9.5,3.8,170.9,0.19,0.35,0
54.8,38.1,130.3,0.1,1.51,1
7.8,7.0,144.8,0.29,0.58,0
14.7,17.8,138.6,0.33,0.88,0
8.9,4.7,110.7,0.34,0.48,0
17.6,6.4,124.0,0.23,0.3,0
53.6,39.6,182.1,0.14,2.86,1
9.2,12.4,126.9,0.18,0.34,0
26.9,10.7,148.9,0.28,0.8,1
14.5,2.0,143.0,0.31,0.56,0
14.3,18.0,149.4,0.24,0.36,0
17.7,7.6,180.5,0.32,0.09,0
11.5,11.5,139.3,0.27,0.3,0
36.8,45.4,279.1,0.02,3.89,1
19.2,0.0,146.6,0.34,0.3,0
41.3,52.5,215.2,0.04,2.62,1
12.5,7.8,139.4,0.25,0.67,0
86.7,60.4,237.4,0.17,2.91,0
19.9,6.9,107.3,0.18,0.24,0
20.8,23.0,154.3,0.3,0.69,0
16.5,11.7,120.5,0.29,0.71,1
16.6,16.4,123.0,0.19,0.71,0
30.2,69.9,212.1,0.06,3.86,1
15.5,4.1,110.0,0.29,0.25,0
17.7,1.2,143.1,0.21,0.6,0
28.2,18.1,148.8,0.25,0.59,0
18.3,17.0,169.7,0.27,0.71,0
10.2,7.5,111.8,0.2,0.55,1
14.4,15.3,122.2,0.25,0.1,0
78.7,55.3,205.7,0.07,2.78,1
9.9,2.6,116.6,0.2,0.38,0
15.5,11.9,132.9,0.24,0.4,0
15.8,5.8,151.5,0.23,0.59,0
16.1,7.6,124.4,0.15,0.53,0
12.4,8.5,127.6,0.19,0.43,0
53.2,57.3,220.6,0.19,4.07,1
13.6,15.8,119.9,0.25,0.36,0
15.6,10.2,125.3,0.26,0.66,0
20.5,5.4,148.9,0.29,0.42,0
9.3,9.8,164.5,0.31,0.66,0
17.7,14.5,109.7,0.29,0.7,0
62.1,37.0,207.6,0.1,1.29,1
6.3,11.5,132.3,0.25,0.79,0
14.3,6.6,166.4,0.18,0.54,0
14.3,14.3,127.6,0.25,0.34,0
55.7,28.7,170.8,0.17,1.3,1
2.8,13.0,154.3,0.26,0.48,0
90.6,34.5,239.4,0.06,1.07,1
78.6,45.2,197.2,0.1,4.16,1
12.9,6.4,134.1,0.23,0.23,0
108.0,50.2,261.4,0.1,2.75,1
9.1,1.1,111.9,0.17,0.44,0
17.3,1.1,134.5,0.26,0.47,0
5.5,9.2,114.4,0.21,0.62,0
51.1,28.4,199.2,0.06,1.63,1
12.4,14.2,123.1,0.21,0.44,0
64.2,23.8,253.1,0.13,1.79,1
56.6,60.7,172.1,0.2,2.62,1
49.7,40.0,292.9,0.03,0.78,1
67.5,45.7,259.0,0.12,1.7,1
11.1,5.9,136.8,0.28,0.62,0
10.2,11.9,136.9,0.14,0.47,0
13.5,11.1,117.0,0.2,0.25,0
83.3,36.9,233.6,0.09,3.85,1
14.5,12.2,125.6,0.31,0.41,0
68.4,39.2,192.9,0.12,2.1,1
10.9,9.6,127.0,0.24,0.68,0
16.8,4.0,140.2,0.17,0.52,0
13.5,15.7,121.9,0.25,0.45,0
64.6,15.6,250.9,0.02,2.82,1
66.6,43.5,215.1,0.12,0.72,1
28.6,67.9,201.8,0.09,1.59,1
21.7,4.2,116.9,0.24,0.67,0
51.5,26.9,235.7,0.16,3.81,1
14.7,4.5,153.1,0.29,0.63,0
17.7,16.4,144.6,0.29,0.39,0
69.7,51.7,188.8,0.17,3.32,1
13.2,10.5,159.6,0.25,0.34,0
4.9,7.4,189.5,0.3,0.61,0
70.4,46.1,225.4,0.19,2.75,1
11.9,11.5,179.6,0.35,0.65,0
50.4,35.1,270.0,0.19,2.1,1
13.6,18.6,166.6,0.35,0.52,0
51.1,22.0,251.4,0.04,3.58,1
16.4,4.4,169.1,0.26,0.71,0
17.9,8.9,133.0,0.31,0.45,0
10.2,11.7,130.0,0.25,0.41,0
42.1,45.5,168.1,0.09,2.93,1
64.5,35.4,278.9,0.09,1.41,1
7.8,13.9,154.5,0.28,0.28,0
15.5,13.1,118.2,0.31,0.27,0
61.5,17.0,209.8,0.0,2.85,1
54.2,41.6,207.7,0.1,3.63,1
13.1,16.8,184.0,0.15,0.51,0
21.5,3.2,155.6,0.16,0.17,0
52.7,40.4,183.5,0.19,2.8,1
129.2,39.9,225.8,0.09,3.84,1
56.4,31.2,240.2,0.05,4.33,1
52.5,46.7,268.7,0.06,2.01,0
70.4,55.4,165.9,0.0,2.0,1
9.6,3.5,157.4,0.36,0.16,0
8.2,11.4,140.6,0.33,0.7,1
65.6,36.4,199.8,0.03,1.98,1
13.9,8.2,139.5,0.34,0.58,0
70.1,73.4,236.4,0.12,3.41,0
67.2,27.8,162.2,0.12,2.18,1
11.5,11.2,109.0,0.18,0.38,0
16.9,5.0,137.9,0.27,0.38,1
60.6,27.2,251.1,0.09,1.84,1
13.8,16.4,116.9,0.3,0.53,0
60.0,41.2,194.5,0.02,2.04,1
63.3,58.5,238.3,0.02,2.38,1
37.1,43.7,189.7,0.14,2.58,1
15.9,14.6,157.4,0.23,0.67,1
60.3,46.8,325.6,0.05,2.51,1
13.1,16.9,153.7,0.31,0.5,0
68.1,28.6,247.1,0.16,4.58,1
14.6,17.8,119.1,0.23,0.71,0
14.3,12.7,160.4,0.28,0.45,0
8.9,2.6,137.1,0.25,0.63,0
21.2,11.1,158.3,0.28,0.38,0
12.5,21.1,92.7,0.29,0.12,0
65.7,31.5,173.3,0.09,1.99,1
17.5,16.8,142.9,0.2,0.3,0
6.3,9.4,114.7,0.29,0.86,0
19.2,12.9,122.0,0.3,0.34,0
5.4,19.4,188.6,0.27,0.34,0
16.9,5.8,126.4,0.26,0.16,0
9.2,3.4,128.5,0.25,0.59,0
21.4,17.6,129.7,0.19,0.44,0
19.4,7.0,132.0,0.24,0.63,0
26.0,4.2,143.8,0.26,0.74,0
13.8,3.4,154.2,0.24,0.9,0
65.6,38.5,212.4,0.19,2.51,1
30.5,46.8,297.5,0.16,4.82,1
6.9,14.1,143.5,0.27,0.59,1
17.4,11.7,123.6,0.23,0.22,0
56.6,30.0,189.6,0.13,3.5,1
79.4,44.6,277.7,0.15,3.34,1
22.7,17.9,160.0,0.23,0.71,0
64.5,37.7,205.5,0.11,3.21,1
70.9,23.5,183.6,0.1,1.45,1
24.0,19.2,119.5,0.32,0.73,0
19.4,12.6,144.5,0.23,0.54,0
69.9,10.1,233.5,0.07,1.51,1
52.9,41.8,304.7,0.05,3.05,1
11.0,15.2,137.0,0.28,0.66,0
60.9,69.6,169.8,0.05,2.23,1
48.0,39.9,224.3,0.07,3.13,1
61.0,58.5,192.5,0.06,2.08,1
70.6,60.6,262.1,0.13,2.35,1
23.0,11.5,152.2,0.29,0.49,0
9.1,5.3,136.5,0.3,0.14,0
15.3,11.4,114.9,0.16,0.45,1
50.1,64.0,212.1,0.02,3.6,1
77.4,37.4,200.3,0.07,2.81,1
13.0,5.0,131.5,0.24,0.15,0
58.4,49.3,186.7,0.11,2.7,0
75.6,0.6,218.1,0.12,3.2,1
15.9,7.7,148.2,0.33,0.19,0
14.7,20.0,135.1,0.32,0.62,0
86.4,25.3,143.1,0.07,2.56,1
86.2,41.2,240.0,0.14,2.93,1
10.6,17.1,142.6,0.35,0.61,0
80.4,38.0,193.0,0.18,3.17,1
51.6,18.0,211.7,0.14,3.05,1
11.4,15.9,142.5,0.27,0.64,0
19.9,7.1,119.7,0.22,0.0,0
56.9,50.8,200.9,0.14,1.82,1
8.0,6.8,155.7,0.22,0.57,0
9.8,11.8,130.9,0.26,0.57,0
4.2,12.7,165.9,0.21,0.52,0
10.0,6.2,147.9,0.25,0.42,0
9.9,2.9,148.7,0.23,0.57,0
60.0,33.3,221.6,0.17,2.64,1
49.0,43.8,234.7,0.08,4.43,1
46.1,32.1,186.8,0.09,1.96,1
58.9,45.1,233.0,0.04,3.05,0
16.1,0.5,172.7,0.27,0.38,0
16.2,11.4,129.2,0.29,0.48,0
10.0,5.6,134.1,0.2,0.69,0
51.8,42.0,203.6,0.19,3.21,1
90.2,46.6,218.1,0.05,1.63,1
43.1,42.6,200.9,0.03,1.7,1
18.4,13.3,126.1,0.37,0.34,0
24.4,12.7,169.9,0.32,0.61,0
27.2,47.4,222.2,0.09,2.08,1
12.5,10.5,163.2,0.16,0.51,0
7.9,5.8,128.7,0.34,0.38,0
15.0,11.3,129.9,0.24,0.56,0
15.0,12.2,176.0,0.29,0.32,0
9.9,7.0,163.0,0.23,0.59,0
55.1,59.6,206.7,0.07,1.76,1
13.7,8.0,123.7,0.28,0.52,0
14.0,5.3,138.8,0.23,0.61,0
4.5,7.4,140.1,0.2,0.46,0
12.6,4.6,141.0,0.23,0.6,0
16.7,1.0,143.2,0.19,0.74,0
73.7,77.8,218.6,0.13,1.64,1
15.7,16.3,135.3,0.17,0.46,0
18.5,12.6,144.3,0.21,0.44,0
12.4,7.9,139.2,0.25,0.59,0
17.1,5.6,118.7,0.22,0.52,0
16.3,0.0,137.3,0.29,0.55,0
15.7,17.1,150.9,0.26,0.64,0
6.6,9.8,150.6,0.21,0.52,0
13.7,15.5,123.1,0.23,0.3,1
20.1,15.2,156.3,0.26,0.32,0
14.4,5.5,145.8,0.27,0.44,0
20.3,5.6,169.0,0.32,0.52,0
46.7,26.9,263.2,0.19,2.95,1
38.5,23.9,231.1,0.02,1.79,1
13.7,5.1,173.7,0.28,0.81,0
78.0,47.4,185.9,0.13,2.24,1
12.9,5.0,153.4,0.18,0.16,1
81.3,0.0,218.3,0.15,2.93,1
56.0,48.2,227.8,0.06,2.72,1
15.1,6.6,115.4,0.23,0.52,0
19.8,5.6,179.9,0.25,0.46,0
15.9,6.5,114.2,0.22,0.13,0
11.5,5.2,155.0,0.29,0.66,0
2.7,12.6,113.7,0.16,0.71,0
11.0,9.8,118.7,0.15,0.71,1
64.0,50.8,235.0,0.06,1.88,1
8.1,11.5,133.3,0.17,0.41,0
63.3,61.2,231.6,0.12,3.64,1
15.2,20.9,162.5,0.25,0.95,0
63.1,51.1,250.5,0.13,3.3,1
22.9,9.1,135.7,0.18,0.39,0
12.1,13.0,134.3,0.29,0.25,0
49.6,53.6,283.4,0.13,2.45,0
88.1,29.3,300.0,0.06,2.74,1
21.0,11.8,143.0,0.28,0.16,0
75.9,26.5,233.7,0.11,3.3,1
52.5,57.4,229.2,0.09,2.05,1
56.1,34.1,173.4,0.16,1.31,0
85.9,5.6,217.8,0.06,0.53,1
46.1,70.2,222.1,0.08,1.18,1
13.9,15.7,152.9,0.16,0.54,0
10.9,13.1,167.1,0.28,0.31,0
58.0,52.2,215.7,0.04,4.47,1
65.9,31.8,206.6,0.09,2.38,1
14.6,8.4,142.8,0.3,0.41,1
17.2,8.1,141.4,0.33,0.89,0
13.6,6.2,168.2,0.21,0.58,0
88.0,36.9,211.0,0.16,2.94,0
16.4,13.6,134.8,0.23,0.6,0
61.8,24.1,187.2,0.04,1.84,1
11.9,15.0,159.1,0.29,0.79,0
15.5,13.8,158.7,0.27,0.48,0
14.0,3.5,113.6,0.34,0.21,0
54.4,59.8,215.0,0.02,1.95,1
8.7,11.4,173.7,0.32,0.41,0
58.5,3.8,204.6,0.17,3.08,1
17.1,7.7,133.3,0.22,0.0,0
73.4,43.8,206.2,0.09,3.23,1
18.5,0.0,143.4,0.27,0.42,0
14.3,9.0,159.8,0.24,0.6,0
10.5,11.6,141.6,0.25,0.68,1
7.4,14.0,103.1,0.24,0.52,0
3.6,4.5,150.8,0.23,0.44,0
15.4,13.3,145.1,0.25,0.33,0
8.3,14.8,144.6,0.27,0.4,0
13.3,6.2,139.0,0.23,0.49,0
15.2,19.4,132.9,0.3,0.37,0
5.2,5.2,156.9,0.23,0.61,0
14.1,21.0,98.0,0.18,0.49,0
6.3,8.7,126.5,0.11,0.28,0
17.8,8.8,125.3,0.26,0.54,0
9.8,10.0,143.2,0.16,0.39,0
15.2,12.6,172.8,0.21,0.38,0
8.6,6.3,148.6,0.23,0.47,0
14.9,8.7,137.7,0.27,0.5,0
54.1,61.3,225.3,0.16,2.01,1
76.0,45.4,212.6,0.06,2.25,1
9.7,7.0,108.3,0.19,0.59,0
35.6,29.9,235.7,0.05,2.24,1
48.2,49.9,206.9,0.14,2.2,1
11.6,12.4,113.7,0.21,0.48,0
13.3,5.4,149.1,0.28,0.43,0
73.9,41.1,226.4,0.1,3.9,1
14.3,5.0,104.4,0.13,0.71,0
62.6,55.0,178.1,0.07,4.87,1
54.9,57.8,265.2,0.03,2.42,1
34.6,8.7,117.1,0.27,0.23,0
72.0,43.7,217.9,0.14,2.92,1
48.6,46.7,161.4,0.1,2.21,1
16.4,14.1,139.1,0.24,0.31,0
11.3,17.6,105.3,0.34,0.25,0
14.6,13.4,158.7,0.26,0.47,0
94.4,36.1,227.7,0.09,0.99,1
11.1,12.6,174.5,0.22,0.81,1
9.7,8.7,97.7,0.32,0.45,0
22.9,10.3,151.0,0.25,0.14,0
12.2,15.7,157.0,0.21,0.66,1
7.8,3.1,153.1,0.25,0.68,0
12.2,9.1,139.2,0.17,0.5,0
21.0,12.3,139.9,0.2,0.33,0
69.2,43.5,233.6,0.14,2.52,1
13.9,10.7,133.0,0.28,0.7,0
12.7,3.9,127.6,0.23,0.66,0
56.2,47.5,242.1,0.19,1.48,1
72.7,20.7,211.8,0.16,1.56,1
68.5,18.5,259.6,0.02,2.0,1
13.2,0.0,132.9,0.17,0.51,0
37.5,28.5,200.5,0.21,2.62,1
15.4,5.6,98.8,0.32,0.81,0
15.9,12.7,151.4,0.23,0.63,0
23.1,10.7,149.2,0.33,0.36,0
13.8,8.2,120.2,0.26,0.9,0
9.0,9.6,154.3,0.32,0.37,0
12.4,0.6,176.8,0.27,0.33,0
14.5,16.6,107.8,0.2,0.27,0
77.6,58.4,241.5,0.08,3.11,0
78.9,45.4,196.2,0.01,0.64,1
4.4,9.6,159.0,0.34,0.53,0
40.4,46.6,243.2,0.19,3.44,1
13.9,14.5,122.5,0.31,0.57,0
70.6,8.2,202.6,0.09,3.51,0
8.0,11.7,150.0,0.29,0.36,0
95.8,57.4,302.8,0.09,2.82,1
68.8,59.7,231.5,0.07,3.84,1
10.6,5.0,107.9,0.27,0.6,0
20.2,11.9,130.4,0.23,0.8,0
17.4,9.3,121.4,0.24,0.22,0
11.3,14.1,136.3,0.26,0.35,0
55.9,45.2,180.5,0.12,0.56,0
5.7,0.0,134.6,0.21,0.8,0
61.4,32.3,216.2,0.1,1.93,1
16.2,5.6,139.8,0.24,0.43,0
74.5,46.9,172.5,0.15,2.18,1
39.3,35.7,182.5,0.0,1.03,1
13.2,14.6,119.3,0.27,0.67,0
8.1,21.5,144.4,0.28,0.79,1
12.1,13.9,131.8,0.19,0.54,0
9.7,14.3,134.3,0.2,0.48,0
62.4,51.0,185.1,0.11,2.07,1
7.0,5.2,136.4,0.24,0.36,0
18.7,15.7,136.6,0.18,0.29,0
14.1,11.5,126.7,0.3,0.46,0
14.3,8.0,129.1,0.25,0.59,0
76.8,47.5,253.3,0.15,2.39,1
65.0,48.0,242.9,0.1,3.57,1
13.4,14.4,166.2,0.18,0.2,0
40.3,26.5,191.0,0.1,1.21,1
13.7,4.4,129.6,0.29,0.16,0
65.9,52.6,238.2,0.07,1.82,1
8.8,9.8,132.8,0.26,0.71,0
51.3,32.8,147.7,0.06,2.7,1
13.4,16.7,152.9,0.25,0.49,0
18.7,3.8,138.4,0.24,0.43,0
15.2,12.5,117.1,0.27,0.27,0
54.5,16.0,226.3,0.09,2.28,1
24.8,6.7,193.4,0.16,0.43,0
73.4,30.5,188.7,0.09,4.25,1
14.6,11.4,123.4,0.22,0.5,0
63.3,2.4,197.3,0.1,3.24,1
22.0,14.9,168.0,0.25,0.35,0
8.8,10.1,141.7,0.25,0.36,0
14.6,10.7,139.1,0.24,0.48,0
15.7,6.4,113.0,0.33,0.38,0
10.7,10.2,131.1,0.27,0.56,1
15.0,10.7,129.1,0.21,0.71,0
18.8,29.6,194.1,0.12,2.73,1
11.1,4.9,213.9,0.31,0.72,0
4.6,5.2,132.8,0.26,0.54,0
8.8,6.8,114.4,0.24,0.94,0
79.5,32.8,215.0,0.01,3.41,1
14.7,9.3,132.1,0.27,0.64,0
11.5,6.5,132.2,0.36,0.68,0
12.2,9.3,135.1,0.24,0.69,0
49.8,67.0,263.6,0.18,1.08,1
17.1,7.7,149.1,0.2,0.32,0
28.0,9.2,152.4,0.21,0.73,0
16.1,2.5,165.3,0.28,0.36,0
14.5,0.0,127.6,0.33,0.91,0
38.3,75.2,180.5,0.15,3.93,1
10.6,18.8,145.5,0.25,0.4,0
84.4,42.7,228.1,0.03,2.39,1
14.4,6.5,169.4,0.3,0.4,0
46.7,27.9,260.6,0.03,2.35,1
48.5,64.4,187.5,0.03,2.48,1
14.0,9.2,174.0,0.32,0.67,1
12.0,0.0,105.7,0.22,0.26,0
71.8,47.1,215.3,0.04,2.71,1
14.6,2.4,138.1,0.31,0.3,0
21.0,12.5,115.5,0.24,0.6,0
61.8,26.4,220.6,0.12,2.39,1
10.5,11.7,161.5,0.27,0.55,1
15.0,0.0,118.7,0.26,0.88,0
16.8,9.5,147.5,0.21,0.71,1
63.4,26.3,215.6,0.21,2.29,1
63.0,65.4,178.3,0.05,3.73,1
64.2,20.0,218.4,0.03,2.91,1
16.0,14.2,173.8,0.3,0.63,0
53.9,42.1,201.0,0.1,0.7,1
83.6,54.4,268.7,0.0,3.68,1
70.3,46.3,222.7,0.14,2.83,1
6.2,16.7,150.7,0.31,0.58,0
48.4,73.8,275.3,0.04,2.78,1
69.7,34.8,312.4,0.12,2.75,1
16.4,11.4,139.1,0.3,0.46,0
67.6,37.6,274.0,0.17,0.8,1
16.3,0.8,149.7,0.24,0.6,0
0.0,9.2,186.0,0.21,0.29,0
12.4,12.4,134.2,0.21,0.99,0
47.5,30.0,242.2,0.07,3.25,1
11.8,1.9,143.8,0.18,0.38,1
83.9,55.0,223.5,0.12,3.68,0
10.7,12.0,107.9,0.2,0.95,0
71.4,59.4,168.3,0.1,3.45,1
62.5,52.4,221.5,0.15,0.22,1
24.8,17.4,159.9,0.26,0.52,0
97.6,23.4,179.0,0.01,1.32,1
53.0,64.8,239.5,0.12,1.53,1
13.8,9.3,158.5,0.2,0.6,0
44.6,48.4,209.7,0.01,4.77,1
11.0,8.7,135.7,0.26,0.65,0
15.5,7.2,157.6,0.2,0.5,0
21.1,4.5,159.2,0.2,0.3,0
17.1,3.7,185.9,0.31,0.36,0
11.2,13.5,149.9,0.16,0.23,0
46.3,57.2,199.1,0.07,1.12,0
42.2,42.6,188.6,0.08,1.57,1
18.6,5.4,150.9,0.3,0.41,0
6.4,9.6,109.6,0.26,0.6,0
61.4,52.9,210.4,0.09,3.75,1
21.9,14.0,142.0,0.32,0.66,0
14.6,9.1,124.8,0.23,0.62,1
21.3,11.5,171.8,0.26,0.46,0
27.3,0.0,133.4,0.22,0.16,0
72.7,45.9,245.1,0.18,2.89,1
20.5,9.6,168.3,0.25,0.4,0
74.7,24.4,228.8,0.17,2.57,1
71.4,56.5,214.2,0.07,2.59,1
46.0,43.7,284.1,0.13,1.67,1
65.9,37.6,228.9,0.14,4.01,1
18.0,7.2,98.6,0.12,0.5,0
50.9,40.4,312.5,0.07,3.33,0
55.4,39.1,194.5,0.07,3.47,1
12.4,5.4,129.3,0.24,0.5,0
23.9,5.5,151.8,0.23,0.59,0
63.5,36.6,161.8,0.21,3.31,1
49.9,28.4,218.3,0.11,1.83,1
9.5,10.8,107.7,0.31,0.33,0
18.3,10.0,128.9,0.18,0.68,0
23.9,19.9,125.9,0.23,0.67,0
11.0,9.5,146.3,0.33,0.73,0
46.5,20.4,207.1,0.12,4.59,1
15.2,6.0,172.9,0.25,0.56,1
58.0,41.8,215.4,0.05,2.51,1
72.9,24.8,193.9,0.07,2.82,1
11.9,11.7,147.7,0.27,0.44,0
10.6,15.7,144.7,0.24,0.36,0
14.7,8.6,172.9,0.22,0.64,0
14.1,5.2,97.6,0.29,0.6,0
90.0,24.7,221.4,0.17,2.83,0
12.4,11.5,114.3,0.26,0.35,0
9.2,19.4,118.7,0.25,0.32,0
68.3,40.0,190.9,0.04,1.14,1
20.9,4.8,153.3,0.23,0.55,0
18.2,6.8,145.6,0.26,0.39,0
14.1,8.5,152.6,0.23,0.47,0
17.4,12.0,118.1,0.28,0.45,0
9.1,7.4,131.8,0.26,0.7,0
94.2,29.2,329.5,0.16,0.99,1
5.1,16.7,152.9,0.23,0.36,1
67.3,74.4,243.7,0.04,2.26,1
73.7,77.3,209.9,0.18,3.24,1
83.0,29.7,219.8,0.1,2.52,0
52.8,26.8,200.1,0.06,2.01,1
17.5,17.1,155.9,0.15,0.61,0
11.4,4.8,130.8,0.25,0.32,0
62.2,33.5,190.8,0.06,2.19,1
23.6,12.0,123.1,0.22,0.34,0
19.2,0.0,147.1,0.24,0.65,1
10.3,18.5,100.7,0.28,0.8,0
74.7,38.3,272.5,0.1,3.16,1
3.8,7.4,128.7,0.2,0.35,0
14.3,21.0,133.4,0.29,0.38,0
6.1,13.3,135.2,0.14,0.11,0
24.3,15.4,126.1,0.25,0.53,0
20.2,9.9,127.0,0.25,0.5,0
15.4,17.3,142.4,0.24,0.43,1
10.5,13.5,136.0,0.15,0.53,0
19.2,10.1,127.1,0.23,0.38,1
51.0,48.6,228.6,0.12,2.55,1
51.8,51.0,284.8,0.07,1.64,1
72.7,39.2,237.6,0.08,1.57,1
72.6,22.1,259.3,0.13,1.5,1
58.8,26.8,186.4,0.18,0.83,1
