SoC,Internal_Res,Cycle_Count,DoD,Cell_Imbalance,Coulombic_Eff,Pol_Voltage,Stress_Index,Label_Health
70.4,76.8,415,42.46,0.0,95.79,0.05,0.0,0
64.1,59.6,1173,43.94,0.067,97.2,0.06,1.48,0
37.6,64.6,0,24.15,0.0,98.99,0.01,0.0,0
99.5,105.5,2021,32.55,0.028,99.39,0.19,1.73,1
64.7,78.7,2459,60.32,0.057,97.47,0.07,2.28,1
11.3,58.7,902,39.93,0.0,99.15,0.02,0.87,0
77.6,50.0,459,65.17,0.019,97.46,0.09,0.66,0
44.1,61.1,1355,28.64,0.036,99.71,0.07,0.51,0
47.0,54.1,2075,73.89,0.051,99.29,0.2,2.55,1
11.2,62.1,457,37.93,0.0,98.32,0.08,1.18,0
34.1,52.8,430,35.16,0.0,98.9,0.05,0.3,0
32.4,99.6,1014,48.67,0.08,99.91,0.07,1.04,0
24.4,56.3,1528,22.89,0.068,98.54,0.14,1.06,0
75.1,80.8,2467,28.98,0.117,97.58,0.14,2.74,1
20.9,50.0,1640,57.38,0.037,98.8,0.09,2.27,1
39.9,84.7,1084,17.23,0.04,96.09,0.11,0.81,1
88.2,50.0,67,69.5,0.007,98.37,0.07,0.02,1
17.3,60.7,192,20.95,0.071,97.36,0.1,0.0,0
62.5,65.9,843,35.13,0.084,97.38,0.27,0.33,1
55.1,50.0,617,29.56,0.013,97.98,0.03,0.63,0
97.0,98.5,135,68.15,0.063,97.98,0.09,0.44,0
14.4,146.9,1285,44.44,0.116,98.05,0.13,1.72,1
77.3,103.0,1245,55.99,0.022,96.53,0.09,0.56,1
97.6,73.7,897,21.48,0.183,98.11,0.18,0.91,1
62.0,74.1,574,18.38,0.0,99.32,0.04,1.28,0
62.2,72.8,2485,21.51,0.071,98.35,0.22,2.44,1
75.1,61.8,967,49.64,0.07,98.16,0.04,0.49,1
94.0,62.7,38,89.88,0.006,100.0,0.0,0.0,0
16.4,75.8,109,45.32,0.0,98.26,0.0,0.0,0
14.0,50.0,676,34.12,0.0,100.0,0.07,0.56,0
72.5,80.8,795,58.21,0.027,98.23,0.1,0.41,0
88.0,50.0,1111,46.89,0.051,97.6,0.09,0.57,0
70.2,86.5,2041,38.42,0.113,97.56,0.24,1.87,1
57.9,50.0,1414,61.55,0.005,100.0,0.08,1.27,1
30.2,71.0,1521,24.55,0.104,100.0,0.2,1.55,1
30.8,62.7,1478,85.15,0.052,98.39,0.15,1.04,1
56.6,71.1,1635,38.95,0.108,98.09,0.06,2.51,0
23.4,94.5,2132,86.21,0.0,98.86,0.12,1.6,1
39.0,78.4,1545,60.03,0.154,96.68,0.2,1.07,1
48.6,50.0,401,78.51,0.0,97.68,0.0,0.74,0
47.1,54.8,987,53.91,0.152,96.14,0.13,0.72,1
40.8,50.0,360,15.86,0.0,97.79,0.01,1.06,0
81.5,70.9,204,14.97,0.007,99.86,0.04,0.0,0
84.8,65.2,1592,13.88,0.034,98.46,0.05,2.54,1
74.3,87.4,1492,15.85,0.094,97.74,0.13,1.03,1
65.6,59.1,1573,65.72,0.028,98.87,0.27,0.99,1
98.3,87.1,0,12.94,0.0,98.3,0.1,0.73,1
63.4,50.0,0,16.42,0.004,99.82,0.0,0.0,0
29.7,55.2,1262,34.43,0.125,96.62,0.16,0.25,1
73.3,50.0,51,41.37,0.035,98.26,0.0,0.0,0
41.6,97.4,1146,67.48,0.0,96.96,0.16,1.13,1
80.3,59.8,731,73.6,0.015,98.89,0.09,0.89,0
19.3,108.7,859,69.43,0.105,96.12,0.1,1.17,1
99.0,76.4,1560,15.88,0.076,98.34,0.15,1.3,1
52.7,123.9,909,76.26,0.0,97.06,0.18,0.7,1
41.6,81.9,395,30.38,0.022,97.77,0.1,0.0,0
84.7,99.6,2174,84.31,0.085,97.45,0.04,2.19,1
57.4,78.4,786,12.0,0.043,97.12,0.08,1.11,1
30.6,76.6,1896,79.4,0.036,97.5,0.14,1.94,0
29.9,51.9,2265,83.53,0.032,96.26,0.12,2.69,1
86.9,50.0,903,12.52,0.053,97.81,0.17,1.57,1
48.0,101.7,2871,38.19,0.059,97.44,0.23,2.69,1
82.3,57.1,373,69.88,0.043,97.74,0.0,0.88,0
81.7,52.5,0,14.02,0.089,99.08,0.04,0.0,0
96.7,93.8,1419,57.27,0.103,96.56,0.19,1.44,1
91.7,70.5,663,48.22,0.014,97.35,0.04,1.06,0
60.7,50.0,943,26.65,0.095,98.22,0.04,1.2,0
87.1,78.9,55,51.94,0.058,99.09,0.02,0.0,0
41.7,52.9,0,19.28,0.043,97.63,0.04,0.0,0
70.6,56.9,951,83.54,0.052,99.44,0.08,1.12,0
51.8,64.1,2032,10.79,0.14,96.57,0.2,2.42,1
58.8,68.3,2280,52.97,0.076,96.91,0.0,1.95,1
21.1,70.7,761,82.82,0.012,97.37,0.27,0.88,1
47.7,50.0,564,82.56,0.0,97.28,0.05,0.0,0
23.1,69.7,874,69.01,0.06,98.41,0.11,0.81,1
97.6,50.0,0,58.86,0.0,98.82,0.03,0.45,0
42.3,50.0,1026,14.32,0.022,98.8,0.0,1.08,0
66.3,71.0,960,17.43,0.021,96.4,0.15,1.36,1
27.2,87.2,1059,70.5,0.035,97.15,0.02,0.82,0
99.2,66.1,2191,72.32,0.011,97.25,0.25,1.54,1
97.7,50.0,813,63.47,0.0,100.0,0.12,0.49,0
21.3,54.3,0,54.93,0.0,97.96,0.04,1.03,0
67.7,57.1,614,20.12,0.078,99.04,0.17,0.54,1
55.4,50.0,518,87.96,0.007,98.06,0.06,1.1,0
15.5,71.1,1190,65.31,0.041,97.93,0.12,0.75,1
91.7,59.5,639,46.88,0.036,98.42,0.0,0.66,1
58.9,50.0,0,74.15,0.0,99.56,0.07,0.0,0
13.4,50.4,1294,21.87,0.0,98.88,0.0,0.66,0
22.1,81.4,1745,15.32,0.025,95.07,0.19,1.3,1
10.4,50.0,1017,17.08,0.008,99.12,0.08,1.18,0
69.8,68.0,1724,64.77,0.0,97.76,0.22,1.78,1
26.2,56.3,1783,84.64,0.071,98.65,0.1,1.82,1
96.7,63.9,73,32.81,0.0,98.58,0.04,0.1,0
80.1,56.6,1996,34.43,0.078,97.33,0.15,1.8,1
77.3,68.5,874,65.84,0.038,98.16,0.02,0.33,0
23.4,103.6,1202,51.39,0.016,96.66,0.07,0.47,0
12.8,66.1,749,74.01,0.075,96.87,0.01,0.75,0
63.5,91.4,1423,64.13,0.0,98.65,0.14,1.56,0
69.3,59.6,1355,68.69,0.104,97.01,0.2,1.68,1
84.9,53.7,655,18.08,0.006,96.89,0.09,0.66,0
42.7,70.8,793,22.24,0.054,97.27,0.16,0.33,1
89.3,70.7,2480,32.73,0.084,97.93,0.18,2.5,1
90.5,65.5,1434,79.15,0.003,97.97,0.11,0.63,1
40.7,61.0,676,56.5,0.055,97.86,0.1,1.18,1
20.0,104.5,1884,16.6,0.027,96.34,0.08,1.57,1
92.0,59.9,1345,36.77,0.13,97.81,0.19,0.12,0
93.2,88.6,1210,18.22,0.051,97.76,0.09,0.97,1
14.3,74.5,549,79.21,0.106,96.75,0.08,0.94,1
66.7,68.8,1445,14.1,0.065,98.32,0.16,0.59,1
63.9,50.0,951,32.03,0.0,99.31,0.06,0.25,0
58.5,90.3,196,31.42,0.084,99.88,0.0,0.22,0
12.4,85.7,930,74.81,0.071,98.66,0.1,0.0,0
32.4,50.0,0,20.95,0.0,99.14,0.0,0.0,0
14.7,50.0,491,14.78,0.0,97.07,0.1,0.54,1
43.4,107.9,1689,88.42,0.079,98.47,0.25,0.96,1
58.6,114.8,1670,79.99,0.107,97.22,0.11,1.48,1
74.5,74.6,1557,21.47,0.047,96.29,0.11,1.98,1
42.2,96.9,1113,57.82,0.107,97.09,0.09,0.67,1
93.5,50.0,445,52.76,0.0,99.04,0.06,1.2,0
21.6,61.4,1696,84.28,0.093,98.7,0.04,1.76,1
93.2,85.4,1117,55.9,0.082,99.58,0.12,0.77,1
38.9,50.0,734,40.05,0.0,98.59,0.0,0.0,0
45.8,88.4,634,16.28,0.017,97.47,0.14,1.07,1
99.0,50.0,879,53.01,0.005,98.54,0.06,1.5,0
35.4,59.5,0,42.94,0.083,97.24,0.14,0.21,0
59.6,70.7,1548,20.5,0.0,98.22,0.1,0.47,1
74.8,92.8,76,36.74,0.048,99.16,0.08,0.46,0
30.1,50.0,1155,88.23,0.093,97.58,0.1,2.04,0
95.3,97.1,1338,68.03,0.115,96.01,0.18,1.47,1
98.1,57.2,959,33.63,0.017,98.86,0.09,0.28,0
91.0,68.7,1260,45.99,0.11,98.66,0.08,0.81,0
75.4,82.4,0,52.48,0.0,99.55,0.01,0.74,0
90.0,66.1,1206,15.59,0.0,98.45,0.07,1.51,1
78.6,53.6,1334,69.09,0.089,98.27,0.09,2.07,0
91.4,71.4,866,34.46,0.0,97.98,0.09,0.23,0
98.6,64.2,505,81.4,0.0,98.31,0.0,0.58,0
20.2,70.0,714,83.54,0.041,97.23,0.16,0.49,0
51.8,50.0,1808,45.0,0.056,96.88,0.08,0.81,1
96.2,106.2,1816,76.11,0.027,97.66,0.13,1.76,1
64.4,85.8,44,59.22,0.0,99.16,0.06,0.0,0
71.9,89.6,1483,18.09,0.0,98.04,0.13,1.32,1
59.2,81.0,1690,18.53,0.106,97.26,0.14,2.09,1
12.6,59.4,488,19.97,0.047,99.85,0.0,1.76,0
98.9,56.1,142,11.32,0.0,99.07,0.05,0.3,0
21.5,63.5,680,67.05,0.155,96.79,0.21,0.57,1
97.5,53.2,462,32.4,0.133,98.81,0.05,0.08,0
81.6,50.0,504,78.79,0.027,98.92,0.22,0.57,1
56.3,82.5,743,23.11,0.0,97.93,0.08,0.5,1
44.0,100.5,821,74.27,0.083,99.43,0.08,0.53,1
28.4,50.0,1883,39.58,0.046,98.69,0.06,2.08,0
92.0,53.2,0,15.22,0.042,97.85,0.05,0.42,0
83.1,53.0,1942,32.36,0.051,98.48,0.06,1.5,0
51.4,51.4,1075,41.14,0.059,100.0,0.04,1.11,0
64.8,55.9,1099,55.05,0.041,98.87,0.04,0.68,0
60.3,50.0,136,51.87,0.031,99.12,0.02,0.0,0
56.9,50.7,953,65.47,0.0,97.47,0.07,1.07,0
86.2,86.9,873,16.76,0.015,99.08,0.03,0.95,1
49.9,50.0,440,57.41,0.002,99.09,0.04,0.86,0
22.1,50.0,719,71.22,0.0,98.58,0.05,0.47,0
80.1,50.6,281,20.02,0.0,99.56,0.06,0.71,0
50.6,50.0,317,84.85,0.067,99.81,0.03,0.0,0
15.2,80.7,97,21.73,0.0,98.01,0.14,0.0,1
53.5,50.0,976,45.15,0.0,98.36,0.08,1.35,0
43.2,52.7,511,75.95,0.045,98.06,0.06,1.28,0
31.1,60.3,2711,74.22,0.073,95.78,0.1,2.12,1
15.5,84.9,1845,77.76,0.064,96.83,0.14,2.37,1
58.3,63.8,1756,77.6,0.07,98.36,0.13,1.27,1
36.8,53.8,32,77.22,0.002,99.8,0.03,0.0,0
99.4,80.8,88,36.18,0.0,100.0,0.06,0.93,0
84.9,50.0,1343,50.39,0.031,97.57,0.16,0.47,1
93.9,95.1,281,46.11,0.127,97.75,0.19,0.0,0
62.6,50.0,277,81.79,0.0,99.38,0.02,0.52,0
50.4,61.1,1569,64.46,0.098,97.98,0.12,1.9,0
92.3,94.2,2270,24.29,0.15,98.17,0.2,2.44,1
93.5,50.0,471,21.35,0.008,97.27,0.0,0.24,0
69.4,78.3,1533,46.41,0.0,98.87,0.2,1.79,1
78.2,86.7,1100,11.6,0.093,97.74,0.03,0.72,1
39.2,72.4,299,68.6,0.0,97.38,0.0,0.0,0
92.2,53.9,843,45.0,0.019,97.53,0.0,0.73,0
91.2,101.9,1099,11.07,0.091,96.8,0.16,0.69,1
47.7,94.4,872,38.81,0.091,99.29,0.16,1.08,1
18.2,81.4,626,82.17,0.0,99.35,0.08,1.09,0
26.5,55.1,976,89.27,0.066,97.55,0.06,1.63,0
94.1,72.3,1033,20.94,0.179,100.0,0.07,1.09,1
43.7,73.8,459,88.68,0.125,97.77,0.0,0.0,0
23.2,50.0,794,15.9,0.059,99.05,0.04,0.96,0
67.1,50.0,0,57.1,0.05,99.27,0.09,0.21,0
48.2,50.0,261,41.62,0.069,97.38,0.09,0.0,0
59.0,68.6,450,21.79,0.0,96.74,0.11,0.56,1
37.3,50.0,125,37.01,0.07,99.73,0.03,0.0,0
74.1,77.4,991,11.67,0.076,98.01,0.21,0.9,1
54.4,66.8,418,76.74,0.0,99.83,0.05,0.79,0
60.0,65.0,1463,11.56,0.076,97.26,0.06,1.91,1
68.7,101.7,1847,67.36,0.055,96.78,0.15,2.01,1
75.8,84.3,1802,83.96,0.0,98.15,0.18,2.42,1
43.1,56.9,70,82.15,0.037,97.96,0.17,0.0,0
27.1,77.4,917,41.57,0.079,97.99,0.08,1.91,0
23.4,84.0,719,19.84,0.106,98.67,0.04,0.16,0
91.4,80.0,1313,36.68,0.065,96.34,0.27,2.54,1
23.0,65.0,296,25.38,0.072,99.98,0.15,0.18,1
69.9,56.1,165,42.0,0.008,98.85,0.05,0.0,0
74.5,98.7,1847,55.87,0.04,97.11,0.15,2.72,1
53.7,65.9,116,10.56,0.087,99.56,0.04,0.0,0
27.6,77.0,418,53.8,0.005,100.0,0.01,0.74,0
67.8,76.4,1429,41.44,0.095,99.24,0.13,1.58,1
54.8,89.6,1494,88.03,0.066,99.33,0.21,2.04,1
33.5,68.1,0,29.4,0.046,98.57,0.01,0.31,0
65.2,90.3,550,23.99,0.064,98.84,0.06,0.01,0
24.2,57.9,1063,74.77,0.068,97.27,0.21,1.14,1
68.0,50.0,366,63.8,0.035,99.74,0.0,0.0,0
71.9,67.8,331,63.57,0.004,99.82,0.06,0.2,0
31.7,61.1,920,46.31,0.0,97.25,0.27,0.2,1
39.2,87.1,981,21.29,0.018,97.92,0.2,0.0,1
25.2,98.9,266,63.38,0.0,99.04,0.05,0.0,0
65.8,90.1,658,55.91,0.066,98.69,0.12,1.11,0
95.6,60.8,1096,31.42,0.0,99.56,0.02,0.33,0
37.3,72.3,1857,52.31,0.103,95.83,0.09,1.61,1
97.8,50.0,1677,56.33,0.061,97.0,0.18,1.83,1
67.3,62.5,1668,25.23,0.074,97.57,0.14,1.15,1
86.6,82.8,108,17.01,0.077,99.6,0.12,0.0,1
46.6,50.0,1437,79.89,0.07,97.68,0.13,1.5,1
32.1,50.0,248,76.38,0.069,97.87,0.05,0.42,0
73.8,78.0,1393,44.06,0.074,97.3,0.18,2.28,1
55.2,56.4,886,74.93,0.06,97.71,0.0,0.16,0
60.0,50.0,1504,74.56,0.008,97.95,0.06,1.44,0
65.3,73.6,2004,18.46,0.06,97.09,0.12,2.13,0
90.4,95.6,2524,11.48,0.084,97.6,0.14,2.66,1
24.1,70.3,1636,71.57,0.102,98.77,0.13,1.22,1
53.0,84.7,1457,46.52,0.13,98.29,0.23,1.55,1
45.8,50.0,938,46.26,0.074,98.45,0.09,1.31,0
58.3,137.3,2252,12.65,0.06,98.32,0.1,1.49,1
95.4,60.9,1732,70.11,0.013,98.56,0.15,1.56,1
13.4,63.5,720,33.36,0.05,100.0,0.0,1.46,0
87.1,67.8,2127,82.07,0.0,97.82,0.09,2.5,1
88.6,86.4,0,51.04,0.035,97.23,0.0,0.12,0
96.6,86.6,2209,89.17,0.075,98.92,0.08,2.21,1
93.9,57.2,1339,22.22,0.05,98.54,0.01,1.52,0
30.3,96.8,2348,33.41,0.023,96.53,0.1,2.21,1
16.4,87.4,2302,48.78,0.014,99.15,0.13,2.66,1
24.4,111.5,2209,81.64,0.134,99.2,0.15,2.45,1
40.9,101.0,1896,82.42,0.0,96.01,0.14,1.98,1
29.2,50.0,1382,62.46,0.071,97.16,0.15,1.27,1
34.2,78.1,1885,30.77,0.092,97.26,0.16,1.62,1
75.1,55.2,804,32.38,0.0,99.03,0.03,1.06,0
19.4,67.7,2188,58.82,0.104,98.26,0.11,2.21,1
99.5,69.5,1499,73.22,0.0,100.0,0.0,1.52,0
14.9,53.7,1405,14.4,0.015,97.5,0.07,1.44,0
55.1,83.1,571,47.28,0.097,97.89,0.08,0.85,0
88.0,79.2,1256,18.69,0.1,99.56,0.15,1.58,1
46.6,112.6,2305,75.7,0.088,97.22,0.24,1.92,1
76.8,66.3,641,48.02,0.013,98.54,0.15,0.81,0
95.1,68.4,1314,66.86,0.019,98.21,0.15,1.08,1
56.2,59.9,0,67.13,0.029,99.21,0.03,0.0,0
38.9,70.5,1703,31.91,0.131,95.63,0.24,1.67,1
45.0,80.1,2022,56.47,0.071,97.16,0.16,1.82,1
90.2,50.0,0,40.22,0.065,99.38,0.0,0.0,0
49.2,50.0,1033,73.51,0.0,97.97,0.03,0.51,0
58.6,50.0,235,72.31,0.03,98.84,0.0,0.0,0
99.5,50.0,457,69.72,0.0,98.41,0.05,0.09,0
48.9,88.9,821,44.94,0.0,97.75,0.16,0.83,1
72.9,70.0,1331,51.67,0.043,98.01,0.09,1.5,1
27.4,68.2,286,63.85,0.043,98.43,0.06,0.6,0
16.1,50.0,614,66.56,0.0,99.74,0.07,0.25,0
95.9,97.5,1378,46.22,0.054,98.69,0.1,1.45,1
86.9,99.7,1668,11.54,0.056,97.43,0.2,1.53,1
40.2,86.6,1684,76.54,0.044,98.32,0.17,2.04,1
12.7,50.0,792,84.21,0.0,98.39,0.1,1.41,0
87.4,91.7,1256,67.47,0.038,99.38,0.26,1.4,1
39.0,60.1,1455,86.8,0.074,97.77,0.12,1.34,1
42.2,50.0,785,69.58,0.111,97.33,0.05,0.86,0
31.8,78.7,1123,25.27,0.0,97.31,0.05,0.81,1
94.7,50.0,209,60.24,0.0,96.66,0.0,0.41,0
25.7,78.6,0,43.02,0.06,96.17,0.09,0.07,0
38.5,71.6,1173,66.41,0.0,97.92,0.17,1.82,1
50.9,50.0,0,67.07,0.0,99.92,0.06,0.87,0
15.5,71.0,465,59.02,0.041,99.92,0.12,0.83,0
80.4,102.2,1941,73.82,0.122,95.88,0.05,2.04,1
82.6,95.4,663,16.93,0.001,99.26,0.03,0.5,0
51.4,78.4,148,63.51,0.0,100.0,0.0,0.0,0
83.9,109.1,450,86.48,0.054,100.0,0.03,0.41,0
47.0,97.1,2510,69.32,0.174,96.47,0.15,2.38,1
24.3,50.0,566,44.2,0.04,98.37,0.04,0.89,0
86.8,104.3,1831,75.91,0.166,96.16,0.16,2.69,1
37.3,72.6,1305,17.17,0.083,98.47,0.08,2.03,1
65.3,103.5,66,73.65,0.077,97.7,0.05,0.0,0
82.3,50.0,426,23.37,0.008,98.92,0.0,0.18,0
90.2,107.5,789,16.61,0.0,99.11,0.06,0.85,0
16.8,62.1,512,66.89,0.0,99.03,0.06,0.51,0
37.6,50.0,1470,52.63,0.113,98.48,0.16,1.99,1
33.5,64.8,775,26.05,0.022,97.14,0.16,1.25,0
55.3,52.4,721,53.31,0.0,98.06,0.03,0.08,0
14.0,50.0,225,70.51,0.03,99.3,0.0,0.0,0
19.7,77.4,1586,23.59,0.021,96.61,0.16,0.88,1
65.1,54.5,1000,77.68,0.069,97.84,0.0,1.2,0
98.9,66.6,667,55.46,0.088,97.71,0.16,1.02,1
94.4,50.0,876,76.74,0.05,97.37,0.1,0.0,0
90.7,83.5,950,61.16,0.099,97.08,0.23,1.78,1
68.0,50.0,293,66.79,0.0,98.47,0.04,0.82,0
54.1,54.5,0,42.39,0.078,98.28,0.0,0.0,0
20.8,61.3,0,52.93,0.063,99.22,0.04,0.0,0
95.4,50.0,0,76.99,0.033,97.76,0.1,0.0,0
13.4,80.8,1514,11.04,0.098,100.0,0.19,2.1,1
10.8,93.8,1162,87.01,0.052,98.32,0.11,0.97,1
29.6,50.0,1235,42.25,0.094,99.31,0.0,0.86,0
51.7,105.1,475,88.09,0.074,98.57,0.11,1.51,1
14.5,97.5,1208,72.61,0.011,98.55,0.1,2.13,1
79.1,82.0,342,84.01,0.028,98.13,0.19,0.26,1
99.0,86.9,1467,33.37,0.035,95.59,0.13,0.43,1
64.7,93.3,706,48.74,0.015,98.74,0.12,1.16,0
16.7,83.4,1994,26.89,0.148,96.86,0.23,3.11,1
43.5,106.9,1273,56.35,0.0,97.66,0.14,1.44,1
37.9,53.3,1162,36.77,0.058,98.18,0.15,0.95,1
75.0,53.4,502,36.36,0.051,99.53,0.05,0.79,0
16.2,65.9,897,50.56,0.0,98.11,0.11,1.37,0
35.6,58.2,936,11.18,0.015,98.06,0.09,0.35,0
73.2,97.3,1245,13.7,0.016,95.53,0.22,1.31,1
78.7,91.6,1489,62.02,0.016,96.91,0.17,1.97,1
85.2,91.8,1343,79.54,0.083,97.81,0.15,1.18,1
79.3,87.0,586,58.24,0.0,98.71,0.11,0.37,0
41.8,60.6,685,20.08,0.05,98.72,0.03,0.66,1
49.2,63.4,0,16.62,0.0,97.48,0.07,0.0,0
68.8,75.3,1675,68.52,0.0,98.29,0.14,1.93,0
33.9,56.9,1362,63.53,0.02,97.78,0.14,0.92,0
32.5,117.8,1362,70.87,0.029,98.79,0.16,1.03,0
63.7,87.0,1807,44.73,0.061,98.36,0.11,2.25,1
80.8,79.9,1413,42.33,0.01,97.12,0.19,1.71,1
57.8,87.1,2162,73.09,0.034,98.69,0.11,2.6,1
37.9,104.0,1626,81.31,0.15,97.2,0.17,2.24,1
58.4,87.7,1872,10.3,0.072,98.14,0.17,2.06,1
82.6,58.4,819,70.89,0.004,97.93,0.1,0.32,1
61.2,57.2,1171,86.66,0.0,98.92,0.21,0.22,1
90.9,56.6,997,25.58,0.008,100.0,0.01,0.77,0
80.8,85.5,2087,70.51,0.079,98.51,0.17,1.71,1
62.4,63.1,840,81.54,0.072,98.58,0.03,0.43,0
40.9,71.7,1653,58.39,0.0,99.33,0.1,1.96,1
31.8,131.4,443,69.78,0.106,97.54,0.16,0.62,1
69.0,95.7,1700,31.2,0.088,99.01,0.13,1.52,1
76.3,50.0,287,42.4,0.0,98.93,0.08,0.0,0
48.2,50.0,1003,77.01,0.034,99.34,0.02,1.59,0
93.8,69.6,1806,82.79,0.005,97.9,0.16,2.06,1
24.6,81.0,1719,76.59,0.08,98.21,0.07,2.42,1
40.2,65.8,1228,12.62,0.054,97.23,0.07,1.4,0
53.6,78.8,2169,14.05,0.048,98.52,0.18,2.57,1
78.4,98.6,980,44.0,0.029,98.46,0.08,0.67,1
65.5,99.1,721,20.61,0.035,97.93,0.22,0.0,1
78.8,58.4,913,84.9,0.126,98.04,0.11,1.54,1
52.5,50.0,558,34.18,0.0,97.53,0.13,0.45,0
90.7,58.0,454,48.07,0.043,100.0,0.06,1.7,0
44.9,52.5,8,72.98,0.031,98.62,0.0,0.0,0
91.1,50.0,249,86.33,0.046,98.77,0.0,0.66,0
13.9,82.0,265,16.14,0.0,98.56,0.0,0.57,0
46.1,50.0,393,12.06,0.0,99.76,0.16,0.64,0
24.8,82.2,610,41.84,0.024,98.97,0.06,1.34,0
63.3,50.0,0,43.14,0.015,99.41,0.0,0.0,0
60.7,64.5,1024,16.89,0.069,97.91,0.17,0.57,1
91.2,51.7,512,12.81,0.0,96.92,0.07,0.55,0
60.5,50.0,1218,43.42,0.03,98.54,0.16,1.16,0
21.9,50.0,537,82.87,0.0,98.82,0.02,1.65,0
97.8,64.3,482,29.31,0.068,97.14,0.04,0.51,0
24.0,50.0,0,40.37,0.0,99.7,0.09,0.22,0
70.7,79.4,2109,87.06,0.044,97.74,0.17,2.2,1
20.8,50.0,0,42.74,0.041,98.58,0.0,0.4,0
92.5,119.6,608,16.73,0.099,98.09,0.07,0.0,0
64.7,57.0,2274,12.23,0.005,98.3,0.14,2.45,1
40.2,63.7,486,19.72,0.099,98.85,0.12,0.51,0
36.0,67.5,0,46.65,0.006,99.0,0.1,0.0,0
29.9,63.2,763,80.75,0.0,98.95,0.21,1.38,0
37.8,128.4,2364,48.83,0.131,95.8,0.31,2.0,1
30.1,73.5,764,26.52,0.029,99.67,0.06,0.22,0
61.6,89.5,0,45.74,0.052,98.5,0.07,0.0,0
26.7,50.0,517,72.98,0.08,99.18,0.0,0.71,0
78.9,50.0,19,26.25,0.0,99.77,0.0,0.15,0
27.2,91.9,1934,49.18,0.052,95.19,0.22,1.84,1
41.4,75.6,977,89.42,0.087,97.79,0.1,1.43,1
76.5,74.5,2249,18.61,0.042,97.4,0.17,1.66,1
85.5,50.0,0,35.01,0.009,99.94,0.01,0.0,0
10.3,50.0,530,55.03,0.016,98.84,0.04,0.0,0
72.6,59.3,131,67.77,0.001,97.77,0.11,0.07,0
76.2,67.9,0,45.8,0.0,97.26,0.0,0.01,0
82.2,107.4,0,79.91,0.034,100.0,0.06,0.77,0
80.7,50.0,381,34.46,0.01,99.73,0.05,0.28,0
77.3,50.0,1429,26.24,0.0,98.71,0.04,2.28,0
91.3,53.9,1809,73.97,0.086,96.54,0.12,1.78,1
85.8,85.4,786,11.82,0.0,97.57,0.19,1.44,1
20.7,58.7,1100,18.95,0.093,95.75,0.04,1.87,1
76.0,75.7,573,78.88,0.042,98.19,0.03,0.55,0
73.5,50.0,920,22.97,0.0,96.42,0.0,1.31,0
33.0,83.4,1859,86.32,0.113,96.67,0.06,2.06,1
52.6,55.7,880,66.1,0.038,98.47,0.08,0.61,0
67.4,58.5,1605,85.13,0.059,99.34,0.13,1.9,0
42.1,65.6,873,87.66,0.034,98.59,0.14,0.77,1
29.2,57.0,1409,13.39,0.0,97.63,0.19,1.77,1
60.4,78.4,917,45.6,0.095,98.51,0.22,0.54,1
33.1,51.2,1079,43.07,0.023,96.04,0.14,1.01,1
60.0,50.0,650,29.6,0.0,99.52,0.0,0.78,0
44.0,55.3,182,34.68,0.0,98.83,0.0,0.07,0
21.8,74.7,1009,86.15,0.043,96.79,0.13,2.01,1
79.8,117.2,2305,23.46,0.085,100.0,0.14,1.51,1
86.1,50.0,0,82.5,0.073,97.13,0.05,0.57,0
64.9,91.3,510,78.52,0.069,99.26,0.09,0.21,0
61.8,66.3,313,78.92,0.018,99.71,0.1,0.27,0
77.6,70.1,823,66.0,0.0,97.14,0.11,0.97,0
39.8,80.5,500,49.14,0.054,99.97,0.08,0.0,0
20.4,73.9,609,45.04,0.078,98.45,0.02,1.26,0
86.3,50.0,374,74.95,0.025,99.47,0.0,0.36,0
80.0,75.4,1469,77.61,0.0,97.53,0.01,0.69,0
94.0,50.0,920,55.15,0.02,97.17,0.15,0.62,0
62.5,50.0,351,47.34,0.0,99.74,0.02,1.53,0
17.5,50.0,0,89.75,0.003,98.18,0.05,0.0,0
59.0,103.7,2309,67.94,0.007,97.34,0.16,1.85,1
66.0,75.2,1945,86.69,0.067,97.74,0.22,2.36,1
43.6,67.7,839,64.04,0.055,98.32,0.02,0.73,0
91.5,90.0,1282,47.01,0.097,99.32,0.11,1.01,1
15.9,64.9,1116,13.71,0.17,99.79,0.17,1.63,1
33.5,109.5,801,60.6,0.102,96.94,0.12,0.72,1
84.9,71.0,309,17.95,0.086,99.88,0.0,0.18,0
84.7,74.5,57,76.22,0.0,100.0,0.11,0.0,0
84.2,71.8,1210,10.59,0.09,98.26,0.14,1.9,0
32.1,58.0,45,79.55,0.036,98.81,0.12,0.87,0
86.3,119.3,2170,20.36,0.159,98.75,0.21,1.49,1
55.5,75.3,855,26.31,0.026,99.8,0.07,0.0,0
23.7,50.4,13,84.27,0.126,99.61,0.02,0.21,0
78.4,76.8,490,62.57,0.089,98.15,0.0,0.0,0
78.8,61.1,1298,74.88,0.106,97.87,0.11,0.8,1
22.3,52.6,0,28.83,0.0,97.6,0.03,0.42,0
59.8,86.4,0,29.34,0.015,99.41,0.03,0.0,0
19.5,100.9,1557,21.95,0.018,97.09,0.14,1.9,1
29.2,62.9,1754,21.93,0.11,98.93,0.08,1.33,1
96.6,117.1,1469,30.37,0.129,97.92,0.22,1.07,1
